CancerType	Family	Subfamily	NormalCounts	CancerCounts
LIHC	SINE	SVA_E	0.026,0.046,0.213,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000	0.080,0.593,0.381,0.271,0.372,0.079,0.223,0.590,0.140,0.114,0.049,0.039,0.776,0.300,0.268,0.458,0.475,0.112,0.117,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
LIHC	SINE	AluY	0.166,0.136,0.193,0.111,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000	0.938,0.043,0.124,0.153,0.287,0.083,0.337,0.083,0.377,0.285,0.713,0.297,0.166,0.132,0.143,0.163,0.089,0.115,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
LIHC	SINE	SVA_C	0.230,0.054,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000	0.336,0.234,0.381,0.143,0.229,0.180,0.546,0.415,0.111,0.200,0.421,0.195,0.410,0.328,0.217,0.634,0.179,0.175,0.302,0.169,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
LIHC	SINE	AluYb3a2	0.204,0.366,0.347,0.044,0.931,0.086,0.196,0.063,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000	0.029,1.706,0.034,0.149,0.550,0.140,0.741,1.632,0.222,0.904,0.265,0.153,0.475,0.101,1.221,0.059,0.186,0.253,0.105,0.255,0.458,0.167,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
LIHC	SINE	AluYb3a1	0.251,0.166,0.308,0.034,0.063,0.450,0.030,0.095,0.033,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000	0.254,0.735,0.008,0.254,0.153,0.152,1.200,0.075,0.408,0.600,0.059,0.293,0.117,0.118,0.049,0.597,1.404,0.054,0.649,0.032,0.715,0.082,0.2,0.127,0.409,0.417,0.273,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
LIHC	SINE	AluYb9	0.409,0.612,0.774,0.127,0.069,2.044,0.324,0.507,0.098,0.297,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000	0.208,1.489,0.279,0.261,0.563,0.568,1.134,1.896,0.252,0.680,0.127,0.471,0.324,0.002,0.372,3.604,0.251,0.911,0.199,0.851,0.696,0.2,0.098,0.653,0.346,0.160,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
LIHC	SINE	AluYb8	0.146,0.120,0.307,0.182,0.885,0.681,0.484,0.100,0.837,0.327,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000	0.750,3.156,0.649,0.103,0.825,0.113,0.459,1.069,0.086,0.396,0.227,0.143,0.173,0.002,0.627,1.249,0.523,1.603,0.284,0.453,1.004,0.259,0.416,0.083,0.200,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
HNSC	L1	(A)n	0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000	0.430,0.314,0.050,0.256,3.249,0.760,0.069,1.178,0.327,0.529,0.041,0.073,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
HNSC	L1	L1PREC1	0.248,0.168,0.022,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000	1.137,0.201,0.939,0.020,0.991,0.006,0.639,1.524,0.003,1.263,1.347,0.014,0.017,0.014,0.025,1.237,0.568,0.587,0.263,0.010,0.049,0.654,0.066,1.410,0.339,0.104,0.080,0.430,1.353,0.026,0.096,0.841,0.036,0.131,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
HNSC	L1	L1HS	0.442,1.646,0.186,0.657,0.776,0.095,0.621,0.170,0.153,0.577,0.437,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000	52.40,19.57,34.76,0.808,0.004,9.381,22.00,0.912,430.0,2.839,78.32,0.295,25.38,5.359,1.546,5.023,3.898,6.540,5.581,100.1,18.32,67.14,2.158,0.296,8.033,0.219,9.243,0.463,0.830,0.240,17.84,5.148,0.584,4.065,0.204,2.004,11.60,0.226,4.083,3.687,4.084,0.299,1.599,10.26,0.540,5.336,0.000,0.000,0.000,0.000
HNSC	L1	L1PA3	0.345,0.029,0.042,0.006,0.278,0.032,0.257,0.078,0.202,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000	3.834,1.253,4.072,0.898,1.750,27.37,6.226,0.152,21.44,0.314,0.008,0.841,3.071,1.091,0.375,8.516,1.435,6.712,2.005,0.397,0.828,0.177,6.723,0.566,0.732,0.427,13.18,4.092,0.444,0.613,2.729,8.695,0.174,2.235,0.222,0.019,0.198,0.518,10.03,0.063,0.455,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
HNSC	L1	L1PA2	0.259,0.029,0.119,0.091,0.336,0.332,0.257,0.153,0.773,0.372,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000	5.521,3.437,7.327,0.078,2.242,3.327,0.087,58.61,0.123,12.35,0.363,36.79,0.829,0.253,1.281,4.580,1.566,0.958,17.72,2.622,12.09,1.860,0.524,1.777,0.177,16.08,0.371,0.842,0.401,23.34,7.697,0.444,1.980,0.144,3.366,17.96,0.333,5.579,0.421,0.279,0.219,0.191,19.18,0.117,1.480,0.000,0.000,0.000,0.000,0.000
HNSC	L1	L1PA5	0.014,0.062,0.144,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000	1.282,0.428,1.442,0.316,0.896,2.206,0.649,0.531,2.323,0.012,0.349,0.966,0.017,0.477,0.048,0.720,0.315,0.330,0.083,0.383,0.394,2.043,0.580,0.136,0.277,0.277,2.239,0.571,0.148,0.020,2.417,0.218,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
HNSC	L1	L1PA4	0.121,0.690,0.025,0.144,0.013,0.313,0.076,0.282,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000	2.833,0.691,2.006,0.138,1.183,2.115,16.63,0.114,2.736,0.188,14.46,0.284,0.451,0.191,1.639,0.714,0.381,4.610,0.751,3.932,1.480,0.379,0.760,0.044,4.766,0.182,0.499,0.128,9.267,1.859,0.308,0.871,1.559,8.203,0.040,1.700,0.224,0.218,0.358,7.601,0.027,0.633,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
HNSC	L1	L1PA6	0.014,0.055,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000	0.127,0.315,0.383,0.171,0.647,1.143,0.258,0.248,1.543,0.179,0.017,0.104,0.268,0.116,0.049,0.459,0.441,0.760,0.342,0.283,0.360,0.130,0.565,0.036,0.427,0.057,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
HNSC	L1	L1	0.751,1.045,0.060,0.154,0.124,0.516,0.163,0.190,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000	11.23,3.754,4.710,0.091,0.004,0.703,7.448,50.01,1.857,11.06,35.63,1.176,0.190,0.636,1.592,1.066,0.566,12.80,2.768,11.58,2.743,2.408,0.326,15.35,0.377,0.094,0.802,42.82,3.819,0.685,0.740,0.651,0.912,15.36,0.064,8.121,1.430,1.538,0.878,0.210,14.41,0.215,0.611,0.000,0.000,0.000,0.000,0.000,0.000,0.000
HNSC	SINE	AluYa1	0.157,0.022,0.099,0.175,0.082,0.048,0.2,1.040,0.102,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000	0.083,0.230,0.071,0.093,0.125,0.491,0.192,0.445,0.032,0.181,0.658,0.439,0.441,0.061,0.105,0.794,0.591,0.159,1.594,0.220,0.042,0.191,0.190,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
HNSC	SINE	AluYa4	0.236,0.257,0.532,0.380,0.125,0.185,0.097,1.070,0.349,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000	0.452,0.344,0.380,0.434,0.295,0.125,0.762,0.061,0.428,0.195,0.628,0.105,1.040,0.288,0.401,1.209,0.638,0.353,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
HNSC	SINE	AluYa5	0.080,0.304,0.033,0.271,0.385,0.609,0.464,0.783,0.408,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000	0.248,0.418,0.460,0.462,0.320,0.269,0.150,0.796,0.130,0.505,0.053,0.530,0.243,0.031,1.571,0.154,0.391,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
HNSC	SINE	AluYa8	0.367,0.188,0.234,0.685,0.137,0.156,0.159,1.699,0.116,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000	0.032,0.165,0.149,0.522,0.095,0.074,0.06,0.657,0.350,0.666,0.390,0.695,0.406,2.493,0.608,0.255,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
HNSC	SINE	AluYb3a2	0.083,0.385,0.041,0.181,0.167,0.468,0.232,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000	0.076,0.228,0.240,0.172,0.050,0.116,0.235,0.492,0.328,0.139,0.313,0.820,0.656,0.751,0.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
HNSC	SINE	AluYb3a1	0.061,0.082,0.2,0.240,0.082,0.046,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000	0.083,0.212,0.625,0.477,0.616,0.019,0.038,0.325,0.148,0.146,0.190,0.139,0.318,0.333,0.685,0.178,1.227,0.048,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
HNSC	SINE	AluYb9	0.925,0.374,0.362,0.319,0.207,0.139,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000	0.307,0.354,1.129,0.743,0.181,0.272,0.917,0.316,0.324,0.627,0.197,0.738,0.272,0.486,0.095,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
HNSC	SINE	AluYb8	0.185,0.501,0.092,0.118,0.673,0.071,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000	0.111,0.098,1.420,0.671,0.116,0.215,0.170,0.114,0.159,0.071,0.411,0.489,1.118,0.187,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
STAD	L1	L1PREC1	0.024,0.050,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000	0.132,0.121,0.080,0.058,0.175,0.739,0.016,3.153,0.522,0.004,0.299,0.671,1.280,0.426,0.409,0.145,0.037,0.250,0.054,3.317,0.040,0.666,0.247,0.667,0.232,0.075,0.301,0.011,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
STAD	L1	L1HS	0.785,0.309,0.225,0.447,0.561,0.060,0.2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000	2.529,52.12,2.501,1.026,4.506,4.351,45.08,2.219,53.63,85.65,2.243,1.200,0.682,61.29,24.56,31.14,8.071,108.9,3.034,3.106,2.171,1.965,3.683,175.0,3.659,55.68,3.348,6.326,6.968,0.595,1.736,1.022,0.085,0.522,19.35,1.097,2.301,0.000,0.000
STAD	L1	L1PA3	0.465,0.049,0.118,0.2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000	0.083,7.607,0.032,0.432,0.763,0.339,6.760,0.031,9.072,14.15,0.007,0.101,6.671,3.381,4.726,2.265,10.07,0.338,0.064,0.712,0.325,0.590,20.24,0.201,7.047,0.975,0.844,0.356,0.439,0.109,0.085,0.444,2.776,0.680,0.162,0.000,0.000,0.000,0.000
STAD	L1	L1PA2	0.343,0.150,0.029,0.2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000	0.083,16.15,0.280,0.432,0.362,0.332,10.56,0.062,11.04,25.82,0.496,0.136,13.52,5.603,8.320,2.225,19.57,0.653,0.260,0.900,0.253,0.772,27.57,0.719,9.163,0.340,2.190,0.624,0.294,0.241,0.292,0.837,6.409,0.646,0.308,0.000,0.000,0.000,0.000
STAD	L1	L1PA5	0.024,0.088,0.2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000	1.176,0.067,0.627,0.343,1.036,0.500,0.899,0.976,0.804,0.602,1.308,0.196,2.524,0.592,0.199,0.341,2.508,1.253,0.245,0.144,0.469,0.334,0.292,0.378,0.546,0.299,0.499,0.788,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
STAD	L1	L1PA4	0.252,0.350,0.029,0.2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000	0.024,5.832,0.067,1.609,0.431,5.289,0.249,4.724,9.292,0.070,3.606,3.536,3.619,0.987,6.866,0.446,0.104,1.680,0.478,0.476,11.76,0.173,5.393,0.058,0.532,1.088,0.304,0.374,0.273,0.623,1.429,0.673,0.261,0.000,0.000,0.000,0.000,0.000,0.000
STAD	L1	L1PA6	0.060,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000	0.116,0.104,0.110,0.399,0.156,0.203,0.479,0.236,0.111,0.130,0.231,1.260,0.140,0.074,0.026,0.538,1.001,0.108,0.314,0.332,0.072,0.148,0.109,0.492,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
STAD	L1	L1	1.031,0.690,0.198,0.501,0.438,0.118,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000	2.131,4.627,1.104,0.973,1.968,2.871,7.489,0.753,7.471,11.38,1.246,0.490,0.317,5.927,3.689,8.222,2.094,13.94,1.500,0.394,0.988,1.648,0.095,30.07,0.191,7.522,0.644,0.553,3.578,0.675,0.244,0.468,0.914,1.322,0.859,2.002,0.000,0.000,0.000
STAD	SINE	AluYa1	0.066,0.366,0.091,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000	0.450,0.010,0.067,0.083,0.333,0.482,1.561,0.359,0.091,0.674,0.507,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
STAD	SINE	AluYa5	0.101,0.358,0.065,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000	4.439,0.219,0.346,0.226,1.761,0.499,0.404,0.239,0.792,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
STAD	SINE	AluYa8	0.331,0.163,0.129,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000	1.560,0.062,0.101,0.512,1.283,0.639,0.169,0.439,1.006,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
STAD	SINE	SVA_D	0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000	0.940,0.266,0.296,0.270,0.242,0.172,0.205,1.030,0.030,0.431,0.306,0.463,0.061,0.418,0.377,0.123,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
