CancerType	Family	Subfamily	NormalCounts	CancerCounts
READ	L1	L1PA2	0.942,0.813,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000	0.264,1.293,1.498,6.240,2.033,0.635,1.030,1.896,0.838,1.440,9.295,1.546,1.438,1.830,1.635,2.680,1.163,0.391
READ	L1	L1PA4	0.533,0.020,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000	0.368,0.648,1.065,4.793,1.923,0.405,0.543,0.683,0.903,0.749,3.657,0.522,0.977,0.594,0.560,0.591,0.399,0.260
READ	L1	L1HS	1.453,0.078,0.143,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000	0.309,1.115,0.857,4.529,2.606,0.449,1.454,0.814,5.091,3.313,37.53,4.355,2.145,0.707,0.962,1.208,7.152,2.573
READ	SINE	AluYa4	0.379,0.243,0.429,0.307,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000	0.796,1.896,0.125,0.399,1.305,0.900,0.243,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
GBM	L1	L1PA6	0.081,0.190,0.049,0.263,3.538,0.217,1.329,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000	0.008,1.998,0.314,1.680,0.600,1.267,9.482,0.090,1.165,0.335,9.827,0.190,1.784,0.697,0.293,0.154,0.075,1.913,0.119,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
GBM	L1	L1PB2c	0.229,0.014,1.828,0.555,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000	1.151,0.470,1.087,0.124,0.678,4.406,0.818,1.274,3.414,0.316,0.699,0.235,0.110,2.795,0.9,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
GBM	L1	L1PREC1	0.009,2.383,0.034,0.490,0.308,0.015,3.597,0.060,1.589,0.055,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000	3.128,0.029,3.297,5.193,0.665,0.677,2.545,17.25,0.288,1.049,4.414,0.176,0.504,15.05,0.101,0.062,2.885,2.576,0.308,0.496,0.088,9.744,0.412,0.019,0.161,0.1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
GBM	L1	L1HS	0.432,2.496,0.677,0.168,0.099,0.873,0.25,0.942,0.466,0.283,6.540,0.366,0.479,7.408,0.333,0.942,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000	0.951,0.854,14.86,1.182,10.41,24.91,1.116,0.791,0.392,8.520,73.76,3.769,0.094,1.234,0.545,15.38,0.259,0.808,0.488,1.623,61.72,0.232,0.446,4.463,0.351,12.38,0.850,1.970,1.380,29.01,0.977,0.705,4.200,1.977,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
GBM	L1	L1PREC2	0.009,0.995,0.545,0.124,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000	0.731,0.004,0.222,0.514,0.144,0.306,1.376,0.133,0.051,0.372,1.169,0.395,0.038,0.023,1.191,0.124,0.007,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
GBM	L1	L1PA10	0.193,0.242,0.319,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000	0.293,0.050,0.671,0.041,1.389,0.151,1.347,0.065,0.670,0.149,0.545,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
