Chromosome	Rawcount
1	38659
2	48134
3	25629
4	41568
5	38834
6	34346
7	28734
8	21950
9	19178
10	22877
11	22407
12	23471
13	18824
14	17024
15	13479
16	12390
17	13511
18	12248
19	8048
20	10222
21	6849
22	4725
X	26899
Y	226
